antecedent,consequent,fitness,support,confidence,lift,coverage,rhs_support,conviction,amplitude,inclusion,interestingness,comprehensibility,netconf,yulesq
"[Height([0.0, 1.13])]","[Shell weight([0.0015, 1.005])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2222222222222222,0.9997605937275557,0.6309297535714574,0.0,-1.0
"[Shucked weight([0.001, 1.488]), Viscera weight([0.0005, 0.76])]","[Rings([1, 29])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.9997605937275557,0.5,0.0,-1.0
"[Shucked weight([0.001, 1.488])]","[Viscera weight([0.0005, 0.76])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2222222222222222,0.9997605937275557,0.6309297535714574,0.0,-1.0
"[Rings([1, 29])]","[Viscera weight([0.0005, 0.76])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2222222222222222,0.9997605937275557,0.6309297535714574,0.0,-1.0
"[Rings([1, 29])]","[Viscera weight([0.0005, 0.76]), Shucked weight([0.001, 1.488])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.9997605937275557,0.7924812503605781,0.0,-1.0
"[Shucked weight([0.001, 1.488]), Rings([1, 29])]","[Viscera weight([0.0005, 0.76])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.9997605937275557,0.5,0.0,-1.0
"[Rings([1, 29]), Shucked weight([0.001, 1.488])]","[Viscera weight([0.0005, 0.76])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.9997605937275557,0.5,0.0,-1.0
"[Shucked weight([0.001, 1.488]), Rings([1, 29])]","[Whole weight([0.002, 2.8255]), Viscera weight([0.0005, 0.76])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4444444444444444,0.9997605937275557,0.6826061944859854,0.0,-1.0
"[Rings([1, 29]), Whole weight([0.002, 2.8255])]","[Viscera weight([0.0005, 0.76])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.9997605937275557,0.5,0.0,-1.0
"[Shucked weight([0.001, 1.488])]","[Height([0.0, 1.13]), Viscera weight([0.0005, 0.76])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.9997605937275557,0.7924812503605781,0.0,-1.0
